8.223.63.150:443#HK [优选高速 71.05ms]
65.52.160.128:8443#HK [优选高速 127.64ms]
103.74.192.228:443#HK [241.71ms]
103.46.142.56:443#HK [优选高速 252.6ms]
103.39.78.118:8443#HK [255.14ms]
103.219.193.90:443#HK [优选高速 263.75ms]
91.149.237.61:443#HK [378.86ms]
47.79.20.130:443#HK [431.3ms]
5.181.2.41:443#HR [276.97ms]
5.181.2.248:8443#HR [291.39ms]
5.181.2.78:8443#HR [314.73ms]
91.219.236.202:8443#HU [300.75ms]
38.180.108.148:443#HU [1160.91ms]
63.32.194.15:2053#IE [268.02ms]
54.229.164.147:2053#IE [273.55ms]
54.229.164.147:8443#IE [275.63ms]
107.172.145.153:443#IE [583.77ms]
80.178.58.56:443#IL [341.19ms]
185.162.127.54:443#IL [1149.6ms]
64.176.167.56:8443#IL [1319.49ms]
65.20.85.14:443#IN [优选高速 155.22ms]
45.89.105.211:443#IN [294.42ms]
103.181.177.88:443#IN [优选高速 308.9ms]
43.230.200.169:443#IN [887.56ms]
139.84.168.252:2053#IN [优选高速 1082.53ms]
139.84.168.252:8443#IN [优选高速 1151.28ms]
98.70.26.236:443#IN [1181.47ms]
172.236.187.52:443#IN [1213.53ms]
89.147.111.223:2053#IS [280.04ms]
82.118.16.51:443#IT [270.42ms]
132.243.205.81:8443#IT [699.95ms]
132.243.205.87:8443#IT [762.87ms]
132.243.205.69:8443#IT [778.5ms]
113.30.151.151:8443#IT [809.02ms]
38.180.194.222:2053#IT [1120.81ms]
8.216.5.125:2087#JP [优选高速 85.78ms]
54.65.254.1:443#JP [87.34ms]
47.79.38.36:443#JP [优选高速 103.6ms]
92.113.124.48:8443#JP [121.38ms]
80.96.156.58:443#JP [222.51ms]
64.176.35.237:443#JP [226.04ms]
66.245.216.191:443#JP [226.1ms]
64.176.53.158:443#JP [228.13ms]
103.85.25.5:443#JP [优选高速 234.42ms]
103.201.131.96:8443#JP [优选高速 264.76ms]
5.144.180.142:443#KG [258.2ms]
52.141.25.42:443#KR [95.95ms]
103.78.133.103:443#KR [285.66ms]
132.145.91.181:8443#KR [优选高速 589.85ms]
130.162.130.105:443#KR [优选高速 606.72ms]
130.162.132.38:443#KR [612.07ms]
134.185.97.168:443#KR [优选高速 670.43ms]
168.107.13.136:8443#KR [优选高速 1042.07ms]
151.245.106.81:443#KR [优选高速 1057.58ms]
140.238.17.157:443#KR [1247.72ms]
152.70.253.84:8443#KR [优选高速 1276.91ms]
92.118.115.22:2053#KZ [292.91ms]
91.207.75.172:443#KZ [303.36ms]
94.247.128.245:443#KZ [332.25ms]
90.156.230.94:8443#KZ [333.98ms]
80.90.183.75:8443#KZ [334.17ms]
80.90.182.93:443#KZ [338.02ms]
82.41.30.167:443#KZ [342.47ms]
5.39.253.54:443#KZ [344.4ms]
80.90.183.75:2053#KZ [354.31ms]
91.207.74.77:443#KZ [356.39ms]
80.208.227.162:443#LT [246.56ms]
93.115.25.111:443#LT [277.07ms]
5.199.169.243:443#LT [279.69ms]
80.208.229.26:443#LT [282.01ms]
85.206.172.44:443#LT [291.06ms]
94.176.232.227:443#LT [295.23ms]
103.231.72.6:8443#LT [324.36ms]
103.231.72.6:2053#LT [325.02ms]
103.231.72.4:443#LT [358.46ms]
